Country,Year,Food Availibility per capita (kg/cap/year)
Algeria,1980,206.5071516
Algeria,1981,197.9601516
Algeria,1982,196.5357004
Algeria,1983,196.7980507
Algeria,1984,191.7431281
Algeria,1985,201.3001715
Algeria,1986,213.3947847
Algeria,1987,210.7421681
Algeria,1988,218.4584818
Algeria,1989,217.21069680000002
Algeria,1990,230.94995899999998
Algeria,1991,239.85914390000002
Algeria,1992,222.3931131
Algeria,1993,235.3938918
Algeria,1994,207.990992
Algeria,1995,217.8473239
Algeria,1996,223.27498889999998
Algeria,1997,218.8951036
Algeria,1998,225.95494269999998
Algeria,1999,226.81898650000002
Algeria,2000,228.20624530000003
Algeria,2001,231.842585
Algeria,2002,233.9397522
Algeria,2003,240.05548030000003
Algeria,2004,240.867793
Algeria,2005,244.30298059999998
Algeria,2006,246.4709929
Algeria,2007,241.2360905
Algeria,2008,245.88022999999998
Algeria,2009,249.7537373
Algeria,2010,254.00537569999997
Algeria,2011,259.0988489
Algeria,2012,263.0397503
Algeria,2013,262.5676594
Egypt,1980,213.4261236
Egypt,1981,225.8973111
Egypt,1982,228.3629713
Egypt,1983,229.36163109999998
Egypt,1984,229.34202870000001
Egypt,1985,231.1302125
Egypt,1986,229.1059591
Egypt,1987,238.88574169999998
Egypt,1988,239.57285269999997
Egypt,1989,237.74236839999998
Egypt,1990,255.7763607
Egypt,1991,261.38312740000003
Egypt,1992,257.1306616
Egypt,1993,256.3212931
Egypt,1994,259.7924617
Egypt,1995,264.9043097
Egypt,1996,266.9317627
Egypt,1997,269.30998470000003
Egypt,1998,270.401956
Egypt,1999,270.5616483
Egypt,2000,271.9992673
Egypt,2001,277.2751768
Egypt,2002,278.01390760000004
Egypt,2003,279.39124449999997
Egypt,2004,281.3457108
Egypt,2005,282.8771442
Egypt,2006,282.81528560000004
Egypt,2007,287.8920152
Egypt,2008,290.1505064
Egypt,2009,291.9777892
Egypt,2010,290.62190580000004
Egypt,2011,289.3875386
Egypt,2012,290.3519052
Egypt,2013,289.5074487
Morocco,1980,232.83978109999998
Morocco,1981,236.0500284
Morocco,1982,241.460456
Morocco,1983,238.45388619999997
Morocco,1984,246.4218753
Morocco,1985,246.721317
Morocco,1986,253.6067056
Morocco,1987,255.6134965
Morocco,1988,256.8900741
Morocco,1989,246.27890069999998
Morocco,1990,257.0126469
Morocco,1991,219.99599819999997
Morocco,1992,221.02193569999997
Morocco,1993,220.92919229999998
Morocco,1994,222.5701738
Morocco,1995,219.98987680000002
Morocco,1996,225.07547409999998
Morocco,1997,226.3847225
Morocco,1998,227.97530519999998
Morocco,1999,228.38537209999998
Morocco,2000,228.77978810000002
Morocco,2001,231.53466630000003
Morocco,2002,236.1910804
Morocco,2003,238.3096853
Morocco,2004,242.747065
Morocco,2005,246.16366800000003
Morocco,2006,247.99778500000002
Morocco,2007,251.7807893
Morocco,2008,255.65076690000004
Morocco,2009,259.27435319999995
Morocco,2010,265.8986472
Morocco,2011,269.6642847
Morocco,2012,269.784158
Morocco,2013,270.3878441
Tunisia,1980,211.26992420000002
Tunisia,1981,202.2065565
Tunisia,1982,195.9008888
Tunisia,1983,208.36982619999998
Tunisia,1984,214.212686
Tunisia,1985,216.21673450000003
Tunisia,1986,219.21947000000003
Tunisia,1987,219.8199634
Tunisia,1988,225.5100583
Tunisia,1989,222.6772086
Tunisia,1990,210.05960040000002
Tunisia,1991,212.232476
Tunisia,1992,210.84577230000002
Tunisia,1993,212.7212017
Tunisia,1994,211.36261980000003
Tunisia,1995,219.2129739
Tunisia,1996,221.1882328
Tunisia,1997,214.2761284
Tunisia,1998,218.63996919999997
Tunisia,1999,217.83958379999999
Tunisia,2000,218.061756
Tunisia,2001,219.72460130000002
Tunisia,2002,220.2012556
Tunisia,2003,220.6695972
